"Term","Term Description","Session","Class","Subject","Catalog Nbr","Section","Class Nbr","Component","Description","Academic Organization","Location Code","Instruction Mode","Enrollment Total","Enrollment Capacity","Wait List Total","List of Students"
"2268","Fall 2026","1","CASAH 111 H1","CASAH","111","H1","3036","DIS","Ancient and Medieval Art","CASAH","CHARLESRIV","P","18","18","1","List of Students"
"2268","Fall 2026","1","CASAH 111 I1","CASAH","111","I1","3037","DIS","Ancient and Medieval Art","CASAH","CHARLESRIV","P","18","18","0","List of Students"
"2268","Fall 2026","1","CASAH 111 J1","CASAH","111","J1","3038","DIS","Ancient and Medieval Art","CASAH","CHARLESRIV","P","18","18","1","List of Students"
"2268","Fall 2026","1","CASAH 111 K1","CASAH","111","K1","3039","DIS","Ancient and Medieval Art","CASAH","CHARLESRIV","P","18","18","0","List of Students"
"2268","Fall 2026","1","CASAH 111 L1","CASAH","111","L1","6778","DIS","Ancient and Medieval Art","CASAH","CHARLESRIV","P","18","18","0","List of Students"
"2268","Fall 2026","1","CASAH 111 M1","CASAH","111","M1","18131","DIS","Ancient and Medieval Art","CASAH","CHARLESRIV","P","18","18","2","List of Students"
"2268","Fall 2026","1","CASAH 114 A1","CASAH","114","A1","16075","IND","Kongo to Cuba: Art","CASAH","CHARLESRIV","P","47","47","1","List of Students"
"2268","Fall 2026","1","CASAH 201 A1","CASAH","201","A1","6315","IND","Understanding Architecture","CASAH","CHARLESRIV","P","90","90","3","List of Students"
"2268","Fall 2026","1","CASAH 220 A1","CASAH","220","A1","17175","IND","Islamic Art & Architecture","CASAH","CHARLESRIV","P","44","44","1","List of Students"
"2268","Fall 2026","1","CASAH 258E MP","CASAH","258E","MP","3040","IND","Spaces of Spanish Art","SAB","SPAIN","P","9","40","0","List of Students"
"2268","Fall 2026","1","CASAH 284 A1","CASAH","284","A1","3041","IND","Arts in America","CASAH","CHARLESRIV","P","44","44","4","List of Students"
"2268","Fall 2026","1","CASAH 300E CI","CASAH","300E","CI","3042","IND","Frameworks Art","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","DYN","CASAH 308E GN","CASAH","308E","GN","3043","IND","Switzerland:Art & Architecture","SAB","EXTENSION","P","6","30","0","List of Students"
"2268","Fall 2026","1","CASAH 310E CI","CASAH","310E","CI","7391","IND","Physical Histories","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","DYN","CASAH 319E LP","CASAH","319E","LP","3044","IND","British Arts & Media","SAB","LONDON","P","2","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 320E LP","CASAH","320E","LP","3045","IND","20th Century British Arts","SAB","LONDON","P","0","30","0","List of Students"
"2268","Fall 2026","1","CASAH 327 A1","CASAH","327","A1","16106","IND","ARTS OF CHINA","CASAH","CHARLESRIV","P","21","44","0","List of Students"
"2268","Fall 2026","DYN","CASAH 349E PV","CASAH","349E","PV","3047","IND","Art Renaissance Padua","SAB","ITALY","P","6","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 354E VN","CASAH","354E","VN","3049","IND","Italian Art and Architecture","SAB","VENICE","P","8","20","0","List of Students"
"2268","Fall 2026","DYN","CASAH 356E PP","CASAH","356E","PP","3050","IND","Modern Art Paris","SAB","FRANCE","P","3","30","0","List of Students"
"2268","Fall 2026","1","CASAH 364E M1","CASAH","364E","M1","3051","IND","Art & Architecture Madrid","SAB","SPAIN","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAH 364E MP","CASAH","364E","MP","7364","IND","Art & Architecture Madrid","SAB","SPAIN","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAH 367 A1","CASAH","367","A1","6320","IND","Material Culture","CASAH","CHARLESRIV","P","6","7","0","List of Students"
"2268","Fall 2026","1","CASAH 368E MP","CASAH","368E","MP","6797","IND","Madrid Graffiti","SAB","SPAIN","P","12","50","0","List of Students"
"2268","Fall 2026","1","CASAH 374E SD","CASAH","374E","SD","3052","IND","Australian Art & Architecture","SAB","AUSTRALIA","P","12","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 381E L1","CASAH","381E","L1","3054","IND","London Architecture & Urbanism","SAB","LONDON","P","9","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 381E L2","CASAH","381E","L2","6644","IND","London Architecture & Urbanism","SAB","LONDON","P","9","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 381E L3","CASAH","381E","L3","6645","IND","London Architecture & Urbanism","SAB","LONDON","P","0","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 381E LP","CASAH","381E","LP","3053","IND","London Architecture & Urbanism","SAB","LONDON","P","12","30","0","List of Students"
"2268","Fall 2026","DYN","CASAH 383E PP","CASAH","383E","PP","3055","IND","Architecture of Paris","SAB","FRANCE","P","11","30","0","List of Students"
"2268","Fall 2026","1","CASAH 385 A1","CASAH","385","A1","16520","IND","American Buildings & Landscape","CASAH","CHARLESRIV","P","12","25","0","List of Students"
"2268","Fall 2026","DYN","CASAH 388E LP","CASAH","388E","LP","3058","IND","British Art 1500-1900","SAB","LONDON","P","5","30","0","List of Students"
"2268","Fall 2026","1","CASAH 390E CI","CASAH","390E","CI","7392","IND","Histories","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 393 A1","CASAH","393","A1","17007","IND","Contemporary Art: 1980 to Now","CASAH","CHARLESRIV","P","62","72","1","List of Students"
"2268","Fall 2026","1","CASAH 395 A1","CASAH","395","A1","15992","IND","History of Photography","CASAH","CHARLESRIV","P","40","44","8","List of Students"
"2268","Fall 2026","DYN","CASAH 411E LP","CASAH","411E","LP","3059","IND","Writing, Art, & Society","SAB","LONDON","P","12","30","0","List of Students"
"2268","Fall 2026","1","CASAH 430E CI","CASAH","430E","CI","3060","IND","Seminar: Greece and Rome","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 440E CI","CASAH","440E","CI","3061","IND","Seminar: Medieval Art","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 450E CI","CASAH","450E","CI","3062","IND","Seminar: Renaissance","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 460E CI","CASAH","460E","CI","3063","IND","Seminar: 17-18th Century Art","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 480E CI","CASAH","480E","CI","3064","IND","Seminar: Modern Art","SAB","LONDON","P","0","10","0","List of Students"
